pagination,pagination-href,body,Stars
"45","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_45?ie=UTF8&pageNumber=45&sortBy=recent","The music quality of iphone 6 is way too bad. When I'm listening to music on ipod classic and ipad, I feel that the music is flowing into my ear. But the same music played on iphone 6 sounds artificial, staying outside my ear but will never come inside. I'm not sure whether it is more tolerable for pop music, but for classical music, iphone 6 is TERRIBLE. Hope that Apple can improve this in the future. I believe they know how to do this. Their ipod classic and ipad both perform music pretty well.","1.0 out of 5 stars"
"92","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_92?ie=UTF8&pageNumber=92&sortBy=recent","Great!","5.0 out of 5 stars"
"94","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_94?ie=UTF8&pageNumber=94&sortBy=recent","Excelent device and the service was greatfull!!!","4.0 out of 5 stars"
"34","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_34?ie=UTF8&pageNumber=34&sortBy=recent","all good","5.0 out of 5 stars"
"124","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_124?ie=UTF8&pageNumber=124&sortBy=recent","Exelente","5.0 out of 5 stars"
"120","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_120?ie=UTF8&pageNumber=120&sortBy=recent","Excellent","5.0 out of 5 stars"
"101","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_101?ie=UTF8&pageNumber=101&sortBy=recent","and finally came the phone in perfect condition","5.0 out of 5 stars"
"94","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_94?ie=UTF8&pageNumber=94&sortBy=recent","Excelent Product","5.0 out of 5 stars"
"59","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_59?ie=UTF8&pageNumber=59&sortBy=recent","It was just as advertized, shipping was fast considering the APO address, highly recommend!!","5.0 out of 5 stars"
"61","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_61?ie=UTF8&pageNumber=61&sortBy=recent","It is ok and I am satisfied.","5.0 out of 5 stars"
"110","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_110?ie=UTF8&pageNumber=110&sortBy=recent","Its very good","5.0 out of 5 stars"
"54","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_54?ie=UTF8&pageNumber=54&sortBy=recent","Great phone no complaints. It was in great shape. Only thing was it showed no SIM card but they fixed it at the store no charge.","4.0 out of 5 stars"
"84","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_84?ie=UTF8&pageNumber=84&sortBy=recent","This is the first smartphone I have ever owned. I have an iPad so was already familiar with many of its features. I am very pleased with the phone.","5.0 out of 5 stars"
"72","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_72?ie=UTF8&pageNumber=72&sortBy=recent","The phone freezes and crashes, some apps fail to work on it, the battery life in it is significantly little...absolutely disappointed","1.0 out of 5 stars"
"89","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_89?ie=UTF8&pageNumber=89&sortBy=recent","So great. Got here in time. I love it!","5.0 out of 5 stars"
"65","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_65?ie=UTF8&pageNumber=65&sortBy=recent","Fast shipping. Happy with Product.","5.0 out of 5 stars"
"91","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_91?ie=UTF8&pageNumber=91&sortBy=recent","This may be a great device but Apple is absolute scum for advertising it on their website at a price of $199 then saying it will cost $649 if you want it unlocked.  The old bait and switch game by a corporation with billons in profit plus tax breaks gallore.","1.0 out of 5 stars"
"109","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_109?ie=UTF8&pageNumber=109&sortBy=recent","I purchased this from amazon.in recently and you know what every thing was perfect, the operating system, the phone hard ware was absolute perfect.
The delivery team was awesome, they deliver the package before time. You should have this instead of samsung or sony phones
Though the price is a lot its worth investing.","5.0 out of 5 stars"
"112","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_112?ie=UTF8&pageNumber=112&sortBy=recent","love my new iPhone 6","5.0 out of 5 stars"
"60","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_60?ie=UTF8&pageNumber=60&sortBy=recent","Great phone but you can the same iPhone 6 16gb from the Apple Store for 200 bucks instead of 700. Just saying","5.0 out of 5 stars"
"88","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_88?ie=UTF8&pageNumber=88&sortBy=recent","Bigger, better, faster. Just a newer iphone.","4.0 out of 5 stars"
"110","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_110?ie=UTF8&pageNumber=110&sortBy=recent","Good","5.0 out of 5 stars"
"102","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_102?ie=UTF8&pageNumber=102&sortBy=recent","Good product!!!!!!","5.0 out of 5 stars"
"73","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_73?ie=UTF8&pageNumber=73&sortBy=recent","It is very fast and responsive. The camera is excellent, definitely one of its best qualities.","4.0 out of 5 stars"
"52","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_52?ie=UTF8&pageNumber=52&sortBy=recent","I love my new iPhone 6 :)","5.0 out of 5 stars"
"125","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_125?ie=UTF8&pageNumber=125&sortBy=recent","Good","5.0 out of 5 stars"
"98","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_98?ie=UTF8&pageNumber=98&sortBy=recent","I love it thanks Amazon","5.0 out of 5 stars"
"96","http://www.amazon.com/Apple-iPhone-Factory-Unlocked-Phone/product-reviews/B00NQGP42Y/ref=cm_cr_arp_d_paging_btm_96?ie=UTF8&pageNumber=96&sortBy=recent","😀","4.0 out of 5 stars"
